FCEV Technical Information,,,,,,
Makes & Models,Fuel Cell System output (kW),Battery Capacity(kWh),Motor Power (KW),Hydrogen Tank Capacity (kg),,
Sedan,,1.24,120,,,
SUV/Crossover,,1.56,136,,,
,,,,,,
,,,,,,
Unit Cost,,,,,,
Makes & Models,Fuel Cell System Cost ($/kW),Battery Cost ($/KWh),Motor Cost ($/kW),Hydrogen Storage Cost ($/kg),,
Sedan,,,,,,
SUV/Crossover,,,,,,
,,,,,,
,,,,,,
Production Cost ($),,,,,,
Makes & Models,Fuel Cell System Total Cost ($),Battery Total Cost ($),Electric Drive Total Cost ($),Hydrogen Storage Total Cost ($),Other Cost ($),Total Production Cost ($)
Sedan,,,,,,
SUV/Crossover,,,,,,
